concept_id,formula_id,formula_name,latex,notation_plain,display_level,is_primary
arithmetic,form_arith_1,Basic Operations,a + b \quad a - b \quad a \times b \quad a \div b,a+b  a-b  a×b  a÷b,1,true
algebra,form_alg_1,Linear Equation,ax + b = c \Rightarrow x = \frac{c-b}{a},ax + b = c → x = (c-b)/a,1,true
algebra,form_alg_2,Quadratic Formula,x = \frac{-b \pm \sqrt{b^2 - 4ac}}{2a},x = (-b ± √(b²-4ac)) / 2a,2,false
coordinate_geometry,form_coord_1,Distance Formula,d = \sqrt{(x_2-x_1)^2 + (y_2-y_1)^2},d = √((x₂-x₁)² + (y₂-y₁)²),1,true
coordinate_geometry,form_coord_2,Slope of a Line,m = \frac{y_2 - y_1}{x_2 - x_1},m = (y₂-y₁) / (x₂-x₁),1,false
pythagorean_theorem,form_pyth_1,Pythagorean Theorem,a^2 + b^2 = c^2,a² + b² = c²,1,true
similar_triangles,form_similar_1,Similar Triangle Ratio,\frac{r}{h} = \frac{R}{H},r/h = R/H,1,true
trigonometry_basics,form_trig_1,SOH-CAH-TOA,\sin\theta = \frac{\text{opp}}{\text{hyp}} \quad \cos\theta = \frac{\text{adj}}{\text{hyp}} \quad \tan\theta = \frac{\text{opp}}{\text{adj}},sin θ = opp/hyp  cos θ = adj/hyp  tan θ = opp/adj,1,true
unit_circle,form_unit_1,Unit Circle Identity,\cos^2\theta + \sin^2\theta = 1,cos²θ + sin²θ = 1,1,true
unit_circle,form_unit_2,Euler's Formula,e^{i\theta} = \cos\theta + i\sin\theta,e^(iθ) = cos θ + i·sin θ,2,false
func_basics,form_func_1,Function Notation,f: A \to B \quad y = f(x),f: A → B  or  y = f(x),1,true
func_basics,form_func_2,Composition,(f \circ g)(x) = f(g(x)),(f∘g)(x) = f(g(x)),1,false
limits,form_limit_def,Limit Definition,\lim_{x \to a} f(x) = L,lim(x→a) f(x) = L,1,true
limits,form_limit_inf,Limit at Infinity,\lim_{x \to \infty} \frac{1}{x} = 0,lim(x→∞) 1/x = 0,2,false
continuity,form_cont_1,Continuity Condition,\lim_{x \to a} f(x) = f(a),lim(x→a) f(x) = f(a),1,true
derivatives,form_deriv_limit,Derivative Definition,f'(x) = \lim_{h \to 0} \frac{f(x+h) - f(x)}{h},f'(x) = lim(h→0) [f(x+h)-f(x)]/h,1,true
derivatives,form_deriv_notation,Leibniz Notation,\frac{dy}{dx} = \frac{d}{dx}[f(x)],dy/dx = d/dx[f(x)],1,false
power_rule,form_power_1,Power Rule,\frac{d}{dx}[x^n] = nx^{n-1},d/dx[xⁿ] = n·xⁿ⁻¹,1,true
product_rule,form_product_1,Product Rule,(fg)' = f'g + fg',(f·g)' = f'·g + f·g',1,true
quotient_rule,form_quotient_1,Quotient Rule,\left(\frac{f}{g}\right)' = \frac{f'g - fg'}{g^2},(f/g)' = (f'·g - f·g') / g²,1,true
chain_rule,form_chain_1,Standard Chain Rule,\frac{d}{dx}[f(g(x))] = f'(g(x)) \cdot g'(x),d/dx[f(g(x))] = f'(g(x))·g'(x),1,true
