concept_id,concept_name,description,core_theory,type,color,curriculum_layer
arithmetic,Arithmetic,Basic number operations,The four fundamental operations on numbers: addition subtraction multiplication and division. Forms the numerical foundation for all mathematics.,Foundation,#7A7060,0
algebra,Algebra,Symbolic expression manipulation,The study of mathematical symbols and rules for manipulating those symbols. Enables generalisation from arithmetic to variables and equations.,Foundation,#7A7060,0
coordinate_geometry,Coordinate Geometry,Points and curves on the x-y plane,A system that uses pairs of numbers called coordinates to uniquely determine the position of points in a plane. Bridges algebra and geometry.,Foundation,#7A7060,0
pythagorean_theorem,Pythagorean Theorem,Right triangle side relationship,In any right-angled triangle the square of the hypotenuse equals the sum of the squares of the other two sides: a² + b² = c².,Geometry,#1A7A50,0
similar_triangles,Similar Triangles,Equal-angle triangle ratios,Two triangles are similar when their corresponding angles are equal. Their corresponding side lengths are proportional giving a constant ratio r/h.,Geometry,#1A7A50,0
trigonometry_basics,Trigonometry Basics,Right triangle ratios,The study of relationships between angles and side lengths of triangles. Defines the six trigonometric functions from ratios of sides in a right triangle.,Foundation,#7A7060,0
unit_circle,Unit Circle,Circle of radius 1 for angle definition,A circle of radius 1 centred at the origin used to define trigonometric function values for any angle including those beyond 90 degrees.,Foundation,#7A7060,0
func_basics,Functions,Mapping inputs to outputs,A function f: A → B assigns to each element of domain A exactly one element of codomain B. Captured by notation f(x) where x is the input variable.,Foundation,#7A7060,1
limits,Limits,Value a function approaches,The limit of f(x) as x approaches a is the value L that f(x) gets arbitrarily close to as x gets arbitrarily close to a. Written lim(x→a) f(x) = L.,Calculus,#2D5FCC,1
continuity,Continuity,Unbroken function behaviour,A function f is continuous at x = a if lim(x→a) f(x) = f(a). Informally: the function can be drawn without lifting the pencil.,Calculus,#2D5FCC,1
derivatives,Derivatives,Instantaneous rate of change,The derivative f'(x) = lim(h→0)[f(x+h)-f(x)]/h measures the instantaneous rate of change of f at x. Geometrically it is the slope of the tangent line.,Rate of Change,#9B3ABB,1
power_rule,Power Rule,Derivative of x raised to n,The power rule states that d/dx[x^n] = n·x^(n-1) for any real number n. It is the most frequently applied differentiation rule.,Calculus,#2D5FCC,1
product_rule,Product Rule,Derivative of a product,The product rule states that the derivative of f·g is f'·g + f·g'. It applies whenever two differentiable functions are multiplied together.,Calculus,#2D5FCC,1
quotient_rule,Quotient Rule,Derivative of a quotient,The quotient rule states that d/dx[f/g] = (f'·g - f·g')/g². It applies whenever one differentiable function is divided by another.,Calculus,#2D5FCC,1
chain_rule,Chain Rule,Derivative of composite functions,The chain rule states that d/dx[f(g(x))] = f'(g(x))·g'(x). In Leibniz notation: dy/dx = (dy/du)·(du/dx). Essential for any nested function.,Calculus,#2D5FCC,1
implicit_differentiation,Implicit Differentiation,Differentiating implicit equations,A technique to find dy/dx when y is defined implicitly by an equation in x and y. Both sides are differentiated with respect to x and the chain rule applied to y terms.,Calculus,#6B1A8A,1
trigonometric_functions,Trigonometric Functions,Angle-based periodic functions,"Functions sin(x) cos(x) tan(x) sec(x) csc(x) cot(x) defined for all real x using the unit circle. Periodic with period 2π for sin and cos.",Calculus,#1A7A50,1
trigonometric_derivatives,Trigonometric Derivatives,Derivatives of trig functions,d/dx[sin(x)] = cos(x) and d/dx[cos(x)] = −sin(x). All other trig derivatives follow from these two using quotient and chain rules.,Calculus,#2D5FCC,1
exponential_functions,Exponential Functions,Functions of the form a^x,"Functions of the form f(x) = a^x where a > 0 and a ≠ 1. The natural exponential f(x) = e^x is its own derivative: d/dx[e^x] = e^x.",Calculus,#1A7A50,1
logarithmic_functions,Logarithmic Functions,Inverse of exponential functions,"The logarithm log_a(x) is the inverse of a^x. The natural logarithm ln(x) satisfies d/dx[ln(x)] = 1/x and is the inverse of e^x.",Calculus,#1A7A50,1
related_rates,Related Rates,Finding unknown rates from known rates,Problems where two or more quantities change over time and are related by an equation. Differentiate the equation implicitly with respect to t to find the unknown rate.,Goal,#B85010,1
optimization,Optimization,Finding maximum and minimum values,Finding the values of x that maximise or minimise a function f(x). Requires finding critical points where f'(x) = 0 and testing them with the second derivative.,Goal,#B85010,1
critical_points,Critical Points,Points where derivative is zero or undefined,"A point x = c is a critical point of f if f'(c) = 0 or f'(c) is undefined. Critical points are candidates for local maxima, minima, or saddle points.",Calculus,#2D5FCC,1
second_derivative_test,Second Derivative Test,Classifying critical points,If f'(c) = 0 and f''(c) > 0 then c is a local minimum. If f''(c) < 0 then c is a local maximum. If f''(c) = 0 the test is inconclusive.,Calculus,#2D5FCC,1
curve_sketching,Curve Sketching,Graphing functions using calculus,Using limits derivatives and second derivatives to determine domain intercepts asymptotes intervals of increase/decrease concavity and inflection points of a function.,Goal,#B85010,1
integration,Integration,Antiderivative and area calculation,"The integral ∫f(x)dx is the reverse of differentiation. The definite integral ∫[a,b]f(x)dx represents the signed area under f between x=a and x=b.",Calculus,#2D5FCC,2
indefinite_integrals,Indefinite Integrals,Family of antiderivatives,An indefinite integral ∫f(x)dx = F(x) + C where F'(x) = f(x) and C is the constant of integration. Represents a family of antiderivatives.,Calculus,#2D5FCC,2
definite_integrals,Definite Integrals,Numerical value of integral over interval,"The definite integral ∫[a,b]f(x)dx is a number giving the signed area under f from a to b. Evaluated via the Fundamental Theorem: F(b) - F(a).",Calculus,#2D5FCC,2
substitution,U-Substitution,Integration by variable change,"The substitution method: let u = g(x) so du = g'(x)dx transforming ∫f(g(x))g'(x)dx into ∫f(u)du. The reverse of the chain rule for integration.",Calculus,#2D5FCC,2
integration_by_parts,Integration by Parts,Integration of products,The rule ∫u·dv = u·v − ∫v·du derived from the product rule. Used for integrals of products of functions like x·e^x or x·sin(x).,Calculus,#2D5FCC,2
fundamental_theorem,Fundamental Theorem of Calculus,Duality of differentiation and integration,"The FTC has two parts: (1) d/dx[∫[a,x]f(t)dt] = f(x); (2) ∫[a,b]f(x)dx = F(b)-F(a). It unifies the two central operations of calculus.",Equation Type,#6B1A8A,2
area_between_curves,Area Between Curves,Area using definite integration,"The area between f(x) and g(x) from a to b is ∫[a,b]|f(x)-g(x)|dx. Requires finding intersection points and determining which function is on top.",Goal,#B85010,2
volume_revolution,Volume of Revolution,Volume by rotating a curve,Volumes of solids formed by rotating a curve about an axis. Computed by the disk/washer method or cylindrical shell method using definite integrals.,Goal,#B85010,2
sequences_series,Sequences and Series,Ordered lists and their partial sums,"A sequence is an ordered list {a_n}. A series is the sum Σa_n. Convergence of a series is determined by whether the partial sums S_n approach a finite limit L.",Calculus,#2D5FCC,3
convergence_tests,Convergence Tests,Methods to determine series convergence,"Tests include: Ratio Test (|a_{n+1}/a_n|→L), Root Test, Integral Test, Comparison Test, Alternating Series Test. Each applies under different conditions.",Calculus,#2D5FCC,3
taylor_series,Taylor Series,Polynomial representation of functions,"The Taylor series of f centred at a is Σ[f^(n)(a)/n!](x-a)^n. For a=0 this is a Maclaurin series. Represents f(x) as an infinite polynomial near x=a.",Calculus,#2D5FCC,3
partial_derivatives,Partial Derivatives,Derivatives of multivariable functions,"For f(x,y) the partial derivative ∂f/∂x treats y as constant. Measures how f changes as only x varies. The gradient ∇f = (∂f/∂x, ∂f/∂y) points in the direction of steepest ascent.",Calculus,#2D5FCC,4
multiple_integrals,Multiple Integrals,Integration over 2D and 3D regions,"Double integrals ∬f(x,y)dA integrate over a 2D region. Triple integrals ∭f(x,y,z)dV over a 3D region. Iterated integrals are evaluated one variable at a time.",Calculus,#2D5FCC,4
vector_calculus,Vector Calculus,Calculus on vector fields,Extends calculus to vector-valued functions and fields. Key operations: gradient (∇f) divergence (∇·F) curl (∇×F) and line/surface integrals.,Calculus,#2D5FCC,4
