concept_id,use_case_id,domain,description,problem_example
arithmetic,uc_arith_finance,Finance / Budgeting,Calculating totals discounts and interest using the four basic operations,A store applies a 15% discount to a $80 item. What is the final price?
algebra,uc_alg_physics,Physics / Kinematics,Using linear equations to relate distance speed and time,A car travels at 60 km/h for t hours. Express the distance d as a function of t.
coordinate_geometry,uc_coord_navigation,Navigation / Mapping,Finding straight-line distance between two GPS coordinates,"Two cities are at (3,4) and (7,1) on a scaled map. Find their straight-line distance."
pythagorean_theorem,uc_pyth_construction,Engineering / Construction,Checking that a right angle is true in building and surveying,A builder needs a right angle. She measures 3m and 4m sides. The diagonal must be exactly 5m.
similar_triangles,uc_sim_surveying,Surveying / Indirect Measurement,Measuring the height of an inaccessible object using similar triangle ratios,A 2m pole casts a 3m shadow. A tree casts an 18m shadow. How tall is the tree?
trigonometry_basics,uc_trig_architecture,Architecture / Structural Design,Calculating roof pitch and rafter length from angle measurements,A roof rises at 30°. If the horizontal span is 8m what is the rafter length?
unit_circle,uc_unit_signal,Electrical Engineering / AC Circuits,Modelling alternating current as a sinusoidal function using the unit circle,Voltage in an AC circuit: V(t) = 220·sin(2π·50·t). Find V at t = 0.005s.
func_basics,uc_func_economics,Economics / Supply and Demand,Expressing supply and demand as functions of price,If demand D(p) = 500 - 3p find the quantity demanded at p = 40.
limits,uc_lim_physics,Physics / Instantaneous Velocity,Velocity as the limit of the average velocity as time interval approaches zero,A particle's position is s(t) = t². Find its instantaneous velocity at t = 3 as a limit.
continuity,uc_cont_engineering,Control Engineering / Signal Analysis,Checking that a control system's output function has no discontinuous jumps,A voltage regulator must output a continuous signal. Why does continuity matter for its design?
derivatives,uc_deriv_physics,Physics / Velocity and Acceleration,Velocity is the first derivative and acceleration the second derivative of position,A ball has position s(t) = 5t² - 20t + 4. Find its velocity and acceleration at t = 2s.
power_rule,uc_pow_economics,Economics / Revenue Marginal Analysis,Finding marginal revenue by differentiating a polynomial revenue function,If revenue R(q) = 80q - q² find the marginal revenue function and maximising quantity.
product_rule,uc_prod_physics,Physics / Angular Momentum,Differentiating a product of two time-varying quantities,Angular momentum L = I·ω. Find dL/dt when I and ω are both functions of t.
quotient_rule,uc_quot_chemistry,Chemistry / Reaction Rate,Differentiating a ratio of concentrations or rates,If a reaction rate R = [A]/[B] and both concentrations change find dR/dt.
chain_rule,uc_chain_physics,Physics / Composite Motion,Differentiating position when it depends on an intermediate variable,Pressure p depends on altitude h which depends on time t. Find dp/dt.
chain_rule,uc_chain_economics,Economics / Marginal Cost,Finding how cost changes with time through an intermediate production variable,Revenue R depends on price p which depends on advertising spend s. Find dR/ds.
trigonometric_functions,uc_trig_fn_waves,Physics / Wave Mechanics,Modelling periodic phenomena such as sound waves and oscillations,The displacement of a pendulum: x(t) = A·cos(ωt + φ). Model its motion.
trigonometric_derivatives,uc_trig_d_engineering,Mechanical Engineering / Oscillation,Finding velocity of a simple harmonic oscillator by differentiating displacement,If x(t) = 3·sin(2t) find the velocity dx/dt and maximum speed.
exponential_functions,uc_exp_biology,Biology / Population Growth,Modelling exponential bacterial or population growth,A bacteria culture starts at 100 and doubles every 2 hours. Write P(t) and find P at t=6h.
logarithmic_functions,uc_log_acoustics,Acoustics / Decibel Scale,The decibel scale uses logarithms to compress a wide range of sound intensities,A sound at 10⁻⁵ W/m² has what dB level? Use L = 10·log₁₀(I/I₀) where I₀ = 10⁻¹² W/m².
implicit_differentiation,uc_impl_circle,Geometry / Tangent Lines,Finding slope of a tangent to a circle without explicitly solving for y,"Find the slope of the tangent to x² + y² = 25 at the point (3,4)."
implicit_differentiation,uc_impl_economics,Economics / Isoquants,Differentiating production isoquants to find marginal rate of substitution,For Q = K^0.5·L^0.5 = 100 find dK/dL to measure how capital substitutes for labour.
related_rates,uc_rr_ladder,Engineering / Safety Analysis,How fast does the top of a sliding ladder descend as the base moves outward?,A 10m ladder leans against a wall. Its base slides outward at 1 m/s. How fast is the top descending when the base is 6m from the wall?
related_rates,uc_rr_balloon,Physics / Fluid Dynamics,Rate at which the radius of an inflating balloon grows from a known volume rate,Air is pumped into a sphere at 5 cm³/s. How fast is the radius increasing when r = 3cm?
related_rates,uc_rr_tank,Civil Engineering / Hydraulics,How fast does water level drop in a draining conical tank?,A conical tank (h=4m r=2m) drains at 2 m³/min. How fast is the water level falling when h=3m?
critical_points,uc_cp_economics,Economics / Profit Maximisation,Finding the output level that maximises profit by setting the derivative to zero,If profit P(q) = -q³ + 9q² - 15q - 8 find the production level that maximises profit.
second_derivative_test,uc_sdt_design,Product Design / Structural Strength,Classifying whether a critical point is a maximum (strongest) or minimum (weakest),A beam's deflection function has a critical point. Use the second derivative to determine if it is a maximum deflection.
optimization,uc_opt_cylinder,Manufacturing / Material Cost,Designing the most material-efficient cylindrical can for a fixed volume,A can must hold exactly 355 mL. Find the radius and height that minimise the total surface area.
optimization,uc_opt_fence,Agriculture / Land Management,Maximising fenced area using a fixed length of fencing along a barn wall,A farmer has 200m of fencing for a rectangular paddock against a barn. What dimensions maximise the area?
optimization,uc_opt_box,Packaging Design,Maximising box volume by choosing the optimal corner cut from a sheet,From a 40cm×30cm sheet squares of side x are cut from corners and folded up. Find x that maximises volume.
curve_sketching,uc_curve_economics,Economics / Cost Curve Analysis,Identifying increasing and decreasing returns by sketching the marginal cost curve,Sketch C(q) = q³ - 6q² + 9q + 5 identifying all critical points and inflection points.
integration,uc_int_physics,Physics / Work Done,Work done by a variable force equals the integral of force over displacement,A spring (k=500 N/m) is compressed 0.2m from rest. Calculate the work done using integration.
indefinite_integrals,uc_indef_motion,Physics / Displacement from Velocity,Finding the position function by integrating the velocity function,If v(t) = 6t² - 4t find the position function s(t) given that s(0) = 2.
definite_integrals,uc_def_economics,Economics / Consumer Surplus,Consumer surplus is the definite integral between the demand curve and market price,Given D(p) = 100 - 2p and market price p = 20 compute the consumer surplus using a definite integral.
substitution,uc_sub_engineering,Electrical Engineering / AC Power,Computing power integrals in AC circuits requires u-substitution,Evaluate ∫sin²(ωt)dt which arises when computing average AC power.
integration_by_parts,uc_ibp_engineering,Electrical Engineering / Step Response,Evaluating integrals of exponential times polynomial functions in circuit analysis,Evaluate ∫t·e^(-2t)dt which appears in the step response of an RL circuit.
fundamental_theorem,uc_ftc_physics,Physics / Net Displacement,Using the FTC to find net displacement from a velocity function over a time interval,A particle has v(t) = 3t² - 2t. Find the net displacement from t=0 to t=3 using the FTC.
area_between_curves,uc_area_economics,Economics / Deadweight Loss,Deadweight loss is the area between supply and demand curves after a price floor or ceiling,Find the area between D(p)=100-2p and S(p)=20+p to measure market surplus.
volume_revolution,uc_vol_engineering,Engineering / Tank Design,Computing the volume of a conical or paraboloid-shaped container by revolution,Find the volume of the solid formed by rotating y=√x around the x-axis from x=0 to x=4.
sequences_series,uc_seq_computing,Computer Science / Algorithm Analysis,Series are used to analyse the running time of recursive algorithms,The number of operations in a recursive algorithm: T(n) = 1 + 1/2 + 1/4 + … Evaluate this geometric series.
convergence_tests,uc_conv_physics,Physics / Quantum Mechanics,Determining whether perturbation series in quantum mechanics converge,Does the series Σ(1/n²) converge? Apply the p-test: p=2 > 1 so it converges.
taylor_series,uc_taylor_computing,Computer Science / Numerical Methods,Calculators and software use Taylor series to evaluate sin cos ln and exp,How does a CPU compute sin(0.1) without geometric construction? Via Taylor: sin(x) ≈ x - x³/6 + x⁵/120.
partial_derivatives,uc_part_economics,Economics / Utility Theory,Marginal utility with respect to each good is a partial derivative of the utility function,"If U(x,y) = x^0.5·y^0.5 find ∂U/∂x and ∂U/∂y — the marginal utilities of each good."
multiple_integrals,uc_mult_physics,Physics / Centre of Mass,The centre of mass of a 2D lamina is computed using double integrals,Find the centre of mass of a uniform lamina over the region 0≤x≤2 0≤y≤3.
vector_calculus,uc_vec_fluid,Fluid Mechanics / Flow Analysis,Divergence and curl describe sources and rotation in fluid velocity fields,"Given velocity field F = (x²,y²,z²) compute ∇·F and ∇×F to analyse the fluid flow."
