source_id,target_id,relationship_type,weight
arithmetic,algebra,REQUIRES,1.0
algebra,func_basics,REQUIRES,1.0
algebra,limits,REQUIRES,0.9
coordinate_geometry,func_basics,REQUIRES,0.9
pythagorean_theorem,similar_triangles,REQUIRES,0.8
trigonometry_basics,unit_circle,REQUIRES,1.0
unit_circle,trigonometric_functions,REQUIRES,1.0
func_basics,limits,REQUIRES,1.0
limits,continuity,REQUIRES,1.0
limits,derivatives,REQUIRES,1.0
continuity,derivatives,REQUIRES,0.8
derivatives,power_rule,REQUIRES,1.0
derivatives,product_rule,REQUIRES,1.0
derivatives,quotient_rule,REQUIRES,1.0
derivatives,chain_rule,REQUIRES,1.0
power_rule,product_rule,REQUIRES,0.8
power_rule,quotient_rule,REQUIRES,0.8
chain_rule,implicit_differentiation,REQUIRES,1.0
product_rule,implicit_differentiation,REQUIRES,0.9
trigonometric_functions,trigonometric_derivatives,REQUIRES,1.0
derivatives,trigonometric_derivatives,REQUIRES,1.0
algebra,exponential_functions,REQUIRES,0.9
algebra,logarithmic_functions,REQUIRES,0.9
exponential_functions,logarithmic_functions,REQUIRES,0.9
implicit_differentiation,related_rates,REQUIRES,1.0
chain_rule,related_rates,REQUIRES,1.0
pythagorean_theorem,related_rates,REQUIRES,0.9
similar_triangles,related_rates,REQUIRES,0.8
trigonometric_derivatives,related_rates,REQUIRES,0.8
derivatives,critical_points,REQUIRES,1.0
critical_points,optimization,REQUIRES,1.0
critical_points,second_derivative_test,REQUIRES,1.0
second_derivative_test,optimization,REQUIRES,0.9
chain_rule,optimization,REQUIRES,0.7
derivatives,curve_sketching,REQUIRES,1.0
limits,curve_sketching,REQUIRES,0.9
continuity,curve_sketching,REQUIRES,0.8
critical_points,curve_sketching,REQUIRES,0.9
derivatives,integration,REQUIRES,0.9
limits,integration,REQUIRES,0.8
integration,indefinite_integrals,REQUIRES,1.0
integration,definite_integrals,REQUIRES,1.0
chain_rule,substitution,REQUIRES,1.0
integration,substitution,REQUIRES,1.0
product_rule,integration_by_parts,REQUIRES,1.0
integration,integration_by_parts,REQUIRES,1.0
integration,fundamental_theorem,REQUIRES,1.0
derivatives,fundamental_theorem,REQUIRES,1.0
definite_integrals,area_between_curves,REQUIRES,1.0
fundamental_theorem,area_between_curves,REQUIRES,0.9
definite_integrals,volume_revolution,REQUIRES,1.0
similar_triangles,volume_revolution,REQUIRES,0.7
func_basics,sequences_series,REQUIRES,0.7
limits,sequences_series,REQUIRES,1.0
sequences_series,convergence_tests,REQUIRES,1.0
sequences_series,taylor_series,REQUIRES,1.0
derivatives,taylor_series,REQUIRES,1.0
convergence_tests,taylor_series,REQUIRES,0.9
derivatives,partial_derivatives,REQUIRES,1.0
func_basics,partial_derivatives,REQUIRES,0.9
integration,multiple_integrals,REQUIRES,1.0
partial_derivatives,multiple_integrals,REQUIRES,1.0
partial_derivatives,vector_calculus,REQUIRES,1.0
multiple_integrals,vector_calculus,REQUIRES,0.9
derivatives,integration,RELATED_TO,1.0
chain_rule,product_rule,RELATED_TO,0.8
chain_rule,implicit_differentiation,RELATED_TO,0.9
product_rule,quotient_rule,RELATED_TO,0.9
integration,fundamental_theorem,RELATED_TO,1.0
definite_integrals,fundamental_theorem,RELATED_TO,1.0
optimization,curve_sketching,RELATED_TO,0.85
critical_points,second_derivative_test,RELATED_TO,1.0
exponential_functions,logarithmic_functions,RELATED_TO,1.0
trigonometric_functions,trigonometric_derivatives,RELATED_TO,1.0
unit_circle,trigonometric_functions,RELATED_TO,1.0
sequences_series,limits,RELATED_TO,0.9
taylor_series,convergence_tests,RELATED_TO,0.9
partial_derivatives,vector_calculus,RELATED_TO,0.9
substitution,chain_rule,RELATED_TO,0.9
integration_by_parts,product_rule,RELATED_TO,0.9
