concept_id,video_id,platform,title,url,language,duration_sec,difficulty,channel
arithmetic,vid_arith_khan,YouTube,Arithmetic — Khan Academy Basics,https://www.youtube.com/watch?v=AuX7nPBqDts,en,360,beginner,Khan Academy
algebra,vid_alg_khan,YouTube,Introduction to Algebra,https://www.youtube.com/watch?v=NybHckSEQBI,en,540,beginner,Khan Academy
algebra,vid_alg_3b1b,YouTube,Essence of Linear Algebra,https://www.youtube.com/watch?v=fNk_zzaMoSs,en,860,intermediate,3Blue1Brown
coordinate_geometry,vid_coord_khan,YouTube,Coordinate Plane Basics,https://www.youtube.com/watch?v=9Uc62CuQjc4,en,420,beginner,Khan Academy
pythagorean_theorem,vid_pyth_khan,YouTube,Pythagorean Theorem,https://www.youtube.com/watch?v=AA6RfgP-AHU,en,390,beginner,Khan Academy
similar_triangles,vid_sim_khan,YouTube,Similar Triangles,https://www.youtube.com/watch?v=E_1Zw5n7hGY,en,360,beginner,Khan Academy
trigonometry_basics,vid_trig_khan,YouTube,Basic Trigonometry,https://www.youtube.com/watch?v=Jsiy4TxgIME,en,600,beginner,Khan Academy
trigonometry_basics,vid_trig_3b1b,YouTube,Trig Fundamentals — 3Blue1Brown,https://www.youtube.com/watch?v=yBw67Fb31Cs,en,680,beginner,3Blue1Brown
unit_circle,vid_unit_khan,YouTube,The Unit Circle,https://www.youtube.com/watch?v=ZffZvSH285c,en,540,beginner,Khan Academy
func_basics,vid_func_khan,YouTube,What is a Function?,https://www.youtube.com/watch?v=kvGsIo1TmsM,en,480,beginner,Khan Academy
limits,vid_lim_3b1b,YouTube,Limits and the Definition of Derivatives,https://www.youtube.com/watch?v=kfF40MiS7zA,en,710,beginner,3Blue1Brown
limits,vid_lim_khan,YouTube,Introduction to Limits,https://www.youtube.com/watch?v=W0VEkS_ZSKs,en,490,beginner,Khan Academy
continuity,vid_cont_khan,YouTube,Continuity at a Point,https://www.youtube.com/watch?v=joewRl1CTL8,en,460,beginner,Khan Academy
derivatives,vid_deriv_3b1b,YouTube,Derivative and Slope of a Curve,https://www.youtube.com/watch?v=9vKqVkMQHKk,en,780,beginner,3Blue1Brown
derivatives,vid_deriv_khan,YouTube,Introduction to Derivatives,https://www.youtube.com/watch?v=5yfh5cf4-0o,en,540,beginner,Khan Academy
power_rule,vid_pow_khan,YouTube,Power Rule for Derivatives,https://www.youtube.com/watch?v=dj_GePalCuo,en,380,beginner,Khan Academy
product_rule,vid_prod_khan,YouTube,Product Rule for Derivatives,https://www.youtube.com/watch?v=oNPmmbRnOQU,en,420,beginner,Khan Academy
quotient_rule,vid_quot_khan,YouTube,Quotient Rule for Derivatives,https://www.youtube.com/watch?v=L5ErlC0COxI,en,440,beginner,Khan Academy
chain_rule,vid_chain_3b1b,YouTube,Visualizing the Chain Rule,https://www.youtube.com/watch?v=YG15m2VwSjA,en,615,intermediate,3Blue1Brown
chain_rule,vid_chain_khan,YouTube,Chain Rule Introduction,https://www.youtube.com/watch?v=0T0QrHO56qg,en,580,beginner,Khan Academy
chain_rule,vid_chain_si,YouTube,Chain Rule — Sinhala,https://www.youtube.com/watch?v=PLACEHOLDER_CHAIN_SI,si,420,beginner,Sinhala Math Channel
chain_rule,vid_chain_ta,YouTube,Chain Rule — Tamil,https://www.youtube.com/watch?v=PLACEHOLDER_CHAIN_TA,ta,390,beginner,Tamil Maths
trigonometric_functions,vid_trig_fn_khan,YouTube,Trigonometric Functions Overview,https://www.youtube.com/watch?v=cHLm-5ZWMK4,en,560,beginner,Khan Academy
trigonometric_derivatives,vid_trig_d_khan,YouTube,Derivatives of Trig Functions,https://www.youtube.com/watch?v=wRYHKXbhXSg,en,510,intermediate,Khan Academy
exponential_functions,vid_exp_3b1b,YouTube,What is e? — 3Blue1Brown,https://www.youtube.com/watch?v=m2MIpDrF7Es,en,500,beginner,3Blue1Brown
exponential_functions,vid_exp_khan,YouTube,Exponential Functions,https://www.youtube.com/watch?v=6WMZ7J0wwMI,en,410,beginner,Khan Academy
logarithmic_functions,vid_log_khan,YouTube,Logarithm Basics,https://www.youtube.com/watch?v=ntBWrcbAhaY,en,480,beginner,Khan Academy
implicit_differentiation,vid_impl_khan,YouTube,Implicit Differentiation,https://www.youtube.com/watch?v=aVuMH0SJ7GQ,en,660,intermediate,Khan Academy
related_rates,vid_rr_khan,YouTube,Related Rates — Ladder Problem,https://www.youtube.com/watch?v=I9mVUo-bhM8,en,600,intermediate,Khan Academy
related_rates,vid_rr_prof,YouTube,Related Rates Full Guide,https://www.youtube.com/watch?v=8PKfDz_ePqg,en,920,intermediate,Professor Leonard
related_rates,vid_rr_si,YouTube,Related Rates — Sinhala,https://www.youtube.com/watch?v=PLACEHOLDER_RR_SI,si,480,intermediate,Sinhala Math Channel
critical_points,vid_cp_khan,YouTube,Critical Points and Local Extrema,https://www.youtube.com/watch?v=vA19t9nOJiw,en,440,intermediate,Khan Academy
second_derivative_test,vid_sdt_khan,YouTube,Second Derivative Test,https://www.youtube.com/watch?v=mATBnRBOEX4,en,420,intermediate,Khan Academy
optimization,vid_opt_khan,YouTube,Optimization with Calculus,https://www.youtube.com/watch?v=YDU5MFi3TtI,en,750,intermediate,Khan Academy
optimization,vid_opt_prof,YouTube,Optimization Problems — Full Lecture,https://www.youtube.com/watch?v=Q_sXM-XDc6I,en,1080,intermediate,Professor Leonard
curve_sketching,vid_curve_khan,YouTube,Curve Sketching with Calculus,https://www.youtube.com/watch?v=BVZNGe-JKOE,en,680,intermediate,Khan Academy
integration,vid_int_3b1b,YouTube,Integration and the Fundamental Theorem,https://www.youtube.com/watch?v=rfG8ce4nNh0,en,860,beginner,3Blue1Brown
integration,vid_int_khan,YouTube,Introduction to Integral Calculus,https://www.youtube.com/watch?v=BHenbIbKLPA,en,620,beginner,Khan Academy
indefinite_integrals,vid_indef_khan,YouTube,Indefinite Integrals,https://www.youtube.com/watch?v=aGFHOkSsSS0,en,460,beginner,Khan Academy
definite_integrals,vid_def_khan,YouTube,Definite Integrals,https://www.youtube.com/watch?v=rCWOdfQ3cwQ,en,520,beginner,Khan Academy
substitution,vid_sub_khan,YouTube,U-Substitution,https://www.youtube.com/watch?v=b76wePnIBdU,en,570,intermediate,Khan Academy
integration_by_parts,vid_ibp_khan,YouTube,Integration by Parts,https://www.youtube.com/watch?v=Y2E5gG_-9CE,en,680,intermediate,Khan Academy
fundamental_theorem,vid_ftc_3b1b,YouTube,Fundamental Theorem of Calculus,https://www.youtube.com/watch?v=FnJqaIESC2s,en,740,intermediate,3Blue1Brown
area_between_curves,vid_area_khan,YouTube,Area Between Curves,https://www.youtube.com/watch?v=4M2wuAjHEkQ,en,560,intermediate,Khan Academy
volume_revolution,vid_vol_khan,YouTube,Volume of Revolution — Disk Method,https://www.youtube.com/watch?v=3h-ICPpJPzc,en,620,intermediate,Khan Academy
sequences_series,vid_seq_khan,YouTube,Sequences and Series,https://www.youtube.com/watch?v=sSBGGPuPPlE,en,580,intermediate,Khan Academy
convergence_tests,vid_conv_khan,YouTube,Convergence Tests for Series,https://www.youtube.com/watch?v=5LwUBCrTqDw,en,660,intermediate,Khan Academy
taylor_series,vid_taylor_3b1b,YouTube,Taylor Series — 3Blue1Brown,https://www.youtube.com/watch?v=3d6DsjIBzJ4,en,820,advanced,3Blue1Brown
taylor_series,vid_taylor_khan,YouTube,Taylor Series Introduction,https://www.youtube.com/watch?v=1LxhXqD3_CE,en,610,advanced,Khan Academy
partial_derivatives,vid_part_khan,YouTube,Partial Derivatives,https://www.youtube.com/watch?v=AXqhWeUEtQU,en,560,advanced,Khan Academy
multiple_integrals,vid_mult_khan,YouTube,Double Integrals,https://www.youtube.com/watch?v=P4K3Wzb8T6s,en,640,advanced,Khan Academy
vector_calculus,vid_vec_3b1b,YouTube,Divergence and Curl — 3Blue1Brown,https://www.youtube.com/watch?v=rB83DpBJQsE,en,880,advanced,3Blue1Brown
