concept_id,label_id,language_code,label,description_l2,curriculum_name,text_direction
arithmetic,l2_arith_si,si,අංකගණිතය,සංඛ්‍යා සමඟ මූලික ගණිත ක්‍රියා,අංකගණිතය,ltr
arithmetic,l2_arith_ta,ta,எண்கணிதம்,எண்களுடன் அடிப்படை கணித செயல்பாடுகள்,எண்கணிதம்,ltr
arithmetic,l2_arith_ar,ar,الحساب,العمليات الحسابية الأساسية مع الأعداد,الحساب,rtl
arithmetic,l2_arith_zh,zh,算术,数的基本运算,算术,ltr
algebra,l2_alg_si,si,වීජ ගණිතය,සංකේත හා සමීකරණ භාවිතා කරමින් ගණිතය,වීජ ගණිතය,ltr
algebra,l2_alg_ta,ta,இயற்கணிதம்,குறியீடுகள் மற்றும் சமன்பாடுகளைப் பயன்படுத்தும் கணிதம்,இயற்கணிதம்,ltr
algebra,l2_alg_ar,ar,الجبر,الرياضيات باستخدام الرموز والمعادلات,الجبر,rtl
algebra,l2_alg_zh,zh,代数,使用符号和方程式的数学,代数,ltr
coordinate_geometry,l2_coord_si,si,ඛණ්ඩාංක ජ්‍යාමිතිය,x-y තලයේ ලක්ෂ්‍ය හා රේඛා,ඛණ්ඩාංක ජ්‍යාමිතිය,ltr
coordinate_geometry,l2_coord_ta,ta,ஆள்கோட்டு வடிவியல்,x-y தளத்தில் புள்ளிகள் மற்றும் கோடுகள்,ஆள்கோட்டு வடிவியல்,ltr
coordinate_geometry,l2_coord_ar,ar,الهندسة الإحداثية,النقاط والخطوط على المستوى الإحداثي,الهندسة الإحداثية,rtl
coordinate_geometry,l2_coord_zh,zh,坐标几何,坐标系中的点和线,坐标几何,ltr
pythagorean_theorem,l2_pyth_si,si,පිතාගරස් ප්‍රමේය,දකුණු කෝණ ත්‍රිකෝණයේ a² + b² = c²,පිතාගරස් ප්‍රමේය,ltr
pythagorean_theorem,l2_pyth_ta,ta,பித்தகோரஸ் தேற்றம்,செங்கோண முக்கோணத்தில் a² + b² = c²,பித்தகோரஸ் தேற்றம்,ltr
pythagorean_theorem,l2_pyth_ar,ar,نظرية فيثاغورس,في المثلث القائم a² + b² = c²,نظرية فيثاغورس,rtl
pythagorean_theorem,l2_pyth_zh,zh,勾股定理,直角三角形中 a² + b² = c²,勾股定理,ltr
similar_triangles,l2_sim_si,si,සමාන ත්‍රිකෝණ,සමාන කෝණ ඇති ත්‍රිකෝණ — අනුපාතය සමාන,සමාන ත්‍රිකෝණ,ltr
similar_triangles,l2_sim_ta,ta,ஒத்த முக்கோணங்கள்,சம கோணங்கள் கொண்ட முக்கோணங்கள் — விகிதங்கள் சமம்,ஒத்த முக்கோணங்கள்,ltr
similar_triangles,l2_sim_ar,ar,المثلثات المتشابهة,مثلثات ذات زوايا متساوية ونسب أضلاع متساوية,المثلثات المتشابهة,rtl
similar_triangles,l2_sim_zh,zh,相似三角形,角度相等的三角形其对应边成比例,相似三角形,ltr
trigonometry_basics,l2_trig_si,si,ත්‍රිකෝණමිතිය,ත්‍රිකෝණවල කෝණ හා දිග අතර සම්බන්ධය,ත්‍රිකෝණමිතිය,ltr
trigonometry_basics,l2_trig_ta,ta,முக்கோணவியல்,முக்கோணங்களில் கோணங்களும் பக்கங்களும் தொடர்பு,முக்கோணவியல்,ltr
trigonometry_basics,l2_trig_ar,ar,علم المثلثات,العلاقة بين الزوايا والأضلاع في المثلثات,علم المثلثات,rtl
trigonometry_basics,l2_trig_zh,zh,三角学,三角形中角度与边长的关系,三角学,ltr
unit_circle,l2_unit_si,si,ඒකක වෘත්තය,අරය 1 ක් ඇති වෘත්තය — ත්‍රිකෝණමිතික අර්ථ දැක්වීම,ඒකක වෘත්තය,ltr
unit_circle,l2_unit_ta,ta,அலகு வட்டம்,ஆரம் 1 கொண்ட வட்டம் — முக்கோணவியல் வரையறை,அலகு வட்டம்,ltr
unit_circle,l2_unit_ar,ar,الدائرة الوحدة,دائرة نصف قطرها 1 لتعريف الدوال المثلثية,الدائرة الوحدة,rtl
unit_circle,l2_unit_zh,zh,单位圆,半径为1的圆用于定义三角函数,单位圆,ltr
func_basics,l2_func_si,si,ශ්‍රිත,ආදාන-ප්‍රතිදාන නිර්ණය කිරීමේ ගණිත නියමය,ශ්‍රිත,ltr
func_basics,l2_func_ta,ta,சார்புகள்,உள்ளீடு-வெளியீடு தொடர்பு கோட்பாடு,சார்புகள்,ltr
func_basics,l2_func_ar,ar,الدوال,قاعدة رياضية تربط المدخلات بالمخرجات,الدوال,rtl
func_basics,l2_func_zh,zh,函数,将输入映射到输出的数学规则,函数,ltr
limits,l2_lim_si,si,සීමාව,ශ්‍රිතයක් ළඟා වන අගය,සීමාව,ltr
limits,l2_lim_ta,ta,எல்லை,ஒரு சார்பு நெருங்கும் மதிப்பு,எல்லை,ltr
limits,l2_lim_ar,ar,النهاية,القيمة التي تقترب منها الدالة,النهاية,rtl
limits,l2_lim_zh,zh,极限,函数趋近的值,极限,ltr
continuity,l2_cont_si,si,සතතභාවය,ශ්‍රිතයේ බිඳීම් නැතිවීමේ ගුණය,සතතභාවය,ltr
continuity,l2_cont_ta,ta,தொடர்ச்சி,சார்பில் இடைவெட்டு இல்லாத தன்மை,தொடர்ச்சி,ltr
continuity,l2_cont_ar,ar,الاستمرارية,خاصية الدالة التي لا تحتوي على انقطاعات,الاستمرارية,rtl
